#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/tmptixv0n6k/tmpgrqmf_cb -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/Hom-5A_S13.fastq_output/Hom-5A_S13_humann_temp/Hom-5A_S13_metaphlan_bowtie2.txt --nproc 12
#119461023 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	92.40676	
k__Archaea	2157	7.59324	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	24.46809	
k__Bacteria|p__Spirochaetes	2|203691	14.96898	
k__Bacteria|p__Proteobacteria	2|1224	11.51737	
k__Bacteria|p__Actinobacteria	2|201174	11.43065	
k__Bacteria|p__Bacteroidetes	2|976	7.73896	
k__Archaea|p__Euryarchaeota	2157|28890	7.59286	
k__Bacteria|p__Thermotogae	2|200918	7.33493	
k__Bacteria|p__Firmicutes	2|1239	3.83887	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	3.66626	
k__Bacteria|p__Ignavibacteriae	2|1134404	2.32461	
k__Bacteria|p__Planctomycetes	2|203682	1.76008	
k__Bacteria|p__Synergistetes	2|508458	1.67452	
k__Bacteria|p__Dictyoglomi	2|68297	0.70757	
k__Bacteria|p__Acidobacteria	2|57723	0.36193	
k__Bacteria|p__Atribacterota	2|67818	0.2105	
k__Bacteria|p__Coprothermobacterota	2|2138240	0.13974	
k__Bacteria|p__Bacteria_unclassified	2|	0.09108	
k__Bacteria|p__Chloroflexi	2|200795	0.08242	
k__Bacteria|p__Tenericutes	2|544448	0.06854	
k__Bacteria|p__Kiritimatiellaeota	2|134625	0.01042	
k__Bacteria|p__Deferribacteres	2|200930	0.00433	
k__Bacteria|p__Candidatus_Hydrogenedentes	2|142187	0.0026	
k__Bacteria|p__Fusobacteria	2|32066	0.00181	
k__Bacteria|p__Candidatus_Aminicenantes	2|67817	0.00158	
k__Bacteria|p__Verrucomicrobia	2|74201	0.00065	
k__Archaea|p__Crenarchaeota	2157|28889	0.00038	
k__Bacteria|p__Nitrospirae	2|40117	0.00029	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	24.46809	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	12.87434	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	8.46494	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	7.33493	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	7.24992	
k__Bacteria|p__Proteobacteria|c__CFGB43452	2|1224|	4.44051	
k__Bacteria|p__Proteobacteria|c__CFGB8946	2|1224|	3.70788	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	3.4822	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348	2|95818|	3.39843	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	2.66682	
k__Bacteria|p__Actinobacteria|c__CFGB76414	2|201174|	2.42816	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	2.40549	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	2.32461	
k__Bacteria|p__Spirochaetes|c__CFGB8982	2|203691|	2.04702	
k__Bacteria|p__Firmicutes|c__CFGB27080	2|1239|	1.34018	
k__Bacteria|p__Planctomycetes|c__CFGB45191	2|203682|	1.28036	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.02644	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.9957	
k__Bacteria|p__Firmicutes|c__CFGB8063	2|1239|	0.91482	
k__Bacteria|p__Bacteroidetes|c__CFGB24658	2|976|	0.79023	
k__Bacteria|p__Dictyoglomi|c__CFGB42234	2|68297|	0.70757	
k__Bacteria|p__Bacteroidetes|c__CFGB24578	2|976|	0.53741	
k__Bacteria|p__Planctomycetes|c__CFGB45746	2|203682|	0.47973	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified	2|508458|	0.3881	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.35978	
k__Bacteria|p__Acidobacteria|c__CFGB32401	2|57723|	0.35816	
k__Bacteria|p__Synergistetes|c__CFGB7945	2|508458|	0.27251	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.23975	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.19482	
k__Bacteria|p__Atribacterota|c__CFGB8897	2|67818|	0.16391	
k__Bacteria|p__Firmicutes|c__CFGB8935	2|1239|	0.14186	
