0.00038	Archaea	Crenarchaeota	Crenarchaeota_unclassified	Crenarchaeota_unclassified	Crenarchaeota_unclassified	Crenarchaeota_unclassified	crenarchaeote_SCGC_AAA261_L14	SGB46136
0.04988	Archaea	Euryarchaeota	CFGB38	OFGB38	FGB38	GGB50	GGB50_SGB67	SGB67
0.09825	Archaea	Euryarchaeota	CFGB76181	OFGB76181	FGB76181	GGB27196	GGB27196_SGB39419	SGB39419
0.01174	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	GGB27178	GGB27178_SGB39397	SGB39397
0.17863	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	GGB27198	GGB27198_SGB39422	SGB39422
0.00445	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter_smithii	SGB714
4.8208	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	GGB27285	GGB27285_SGB39523	SGB39523
1.17379	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum_hungatei	SGB145
1.16446	Archaea	Euryarchaeota	Methanomicrobia	Methanotrichales	Methanotrichaceae	GGB54100	GGB54100_SGB75290	SGB75290
0.09086	Archaea	Euryarchaeota	Methanomicrobia	Methanotrichales	Methanotrichaceae	Methanothrix	Methanothrix_soehngenii	SGB187
0.00377	Bacteria	Acidobacteria	Acidobacteriia	Bryobacterales	Bryobacteraceae	GGB63347	GGB63347_SGB85649	SGB85649
0.35816	Bacteria	Acidobacteria	CFGB32401	OFGB32401	FGB32401	GGB45011	GGB45011_SGB62515	SGB62515
0.21559	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	Candidatus_Microthrix	Candidatus_Microthrix_parvicella	SGB15540
0.02416	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Microthrixaceae	Candidatus_Microthrix	Candidatus_Microthrix_SGB36776	SGB36776
0.00013	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Changpingibacter	Changpingibacter_yushuensis	SGB86835
0.26309	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	Schaalia_sp_JY_X169	SGB86838
0.0132	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_adolescentis	SGB17244_group
0.00208	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_longum	SGB17248
0.00651	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_minimum	SGB17229
9,00E-05	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_thermophilum	SGB17273
0.0009	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_SGB61358	SGB61358
0.00023	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium_terpenotabidum	SGB17035
0.00295	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Gordoniaceae	Gordonia	Gordonia_asplenii	SGB86970
0.00135	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium_hodleri	SGB15743
0.00149	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	Mycobacterium_sp_M26	SGB33829
0.00366	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium_fallax	SGB15704
0.17806	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium	Mycolicibacterium_insubricum	SGB15703
0.00178	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Tsukamurellaceae	Tsukamurella	Tsukamurella_pseudospumae	SGB15845
0.00041	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Ornithinibacter	Ornithinibacter_SGB87564	SGB87564
7.76873	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Intrasporangiaceae	Phycicoccus	Phycicoccus_elongatus	SGB15998
0.0007	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_lacticum	SGB16913
0.00048	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_liquefaciens	SGB16874
0.00432	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_mitrae	SGB87762
0.06946	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_paulum	SGB93166
0.02156	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_SGB55573	SGB55573
0.04147	Bacteria	Actinobacteria	Actinomycetia	Nakamurellales	Nakamurellaceae	Nakamurella	Nakamurella_multipartita	SGB15953
0.03059	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Nocardioidaceae	Micropruina	Micropruina_glycogenica	SGB23995
0.00149	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Brevilactibacter	Brevilactibacter_flavus	SGB35154
0.02964	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	GGB71847	GGB71847_SGB98848	SGB98848
0.00124	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Microlunatus	Microlunatus_phosphovorus	SGB15926
0.00087	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus_bendigoensis	SGB15912
0.00138	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus_flavescens	SGB15911
0.01709	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	GGB32865	GGB32865_SGB61406	SGB61406
0.00046	Bacteria	Actinobacteria	CFGB23051	OFGB23051	FGB23051	GGB71899	GGB71899_SGB98917	SGB98917
0.2949	Bacteria	Actinobacteria	CFGB76406	OFGB76406	FGB76406	GGB60247	GGB60247_SGB82192	SGB82192
0.0018	Bacteria	Actinobacteria	CFGB76411	OFGB76411	FGB76411	GGB24874	GGB24874_SGB36777	SGB36777
0.66537	Bacteria	Actinobacteria	CFGB76414	OFGB76414	FGB76414	GGB44031	GGB44031_SGB61405	SGB61405
0.43254	Bacteria	Actinobacteria	CFGB76414	OFGB76414	FGB76414	GGB44034	GGB44034_SGB61410	SGB61410
1.33025	Bacteria	Actinobacteria	CFGB76414	OFGB76414	FGB76414	GGB44036	GGB44036_SGB61412	SGB61412
0.00064	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Ellagibacter	Ellagibacter_isourolithinifaciens	SGB14816_group
0.04659	Bacteria	Atribacterota	Atribacteria	Atribacterales	Atribacteraceae	Atribacter	Atribacter_laminatus	SGB94678
0.00017	Bacteria	Atribacterota	CFGB8897	OFGB8897	FGB8897	GGB26668	GGB26668_SGB38849	SGB38849
0.16374	Bacteria	Atribacterota	CFGB8897	OFGB8897	FGB8897	GGB26668	GGB26668_SGB76493	SGB76493
0.09108	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Candidatus_Chazhemtobacteraceae	Candidatus_Chazhemtobacterium	Candidatus_Chazhemtobacterium_aquaticus	SGB75519
0.00011	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroidaceae_unclassified	Bacteroidaceae_bacterium	SGB48431
0.05962	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_graminisolvens	SGB1924
0.00065	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_luti	SGB1926
0.92237	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Dysgonomonadaceae_unclassified	Dysgonamonadaceae_bacterium	SGB1995
0.00062	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	GGB23753	GGB23753_SGB35459	SGB35459
0.60841	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	GGB46169	GGB46169_SGB77835	SGB77835
0.04607	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Dysgonomonadaceae	Petrimonas	Petrimonas_mucosa	SGB2008
0.03433	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Macellibacteroides	Macellibacteroides_fermentans	SGB1927
1.75683	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tenuifilaceae	GGB35116	GGB35116_SGB79359	SGB79359
0.05318	Bacteria	Bacteroidetes	Bacteroidia	Marinilabiliales	Marinilabiliaceae	GGB23723	GGB23723_SGB35427	SGB35427
0.05829	Bacteria	Bacteroidetes	CFGB24433	OFGB24433	FGB24433	GGB46510	GGB46510_SGB64371	SGB64371
0.53741	Bacteria	Bacteroidetes	CFGB24578	OFGB24578	FGB24578	GGB45701	GGB45701_SGB63418	SGB63418
0.79023	Bacteria	Bacteroidetes	CFGB24658	OFGB24658	FGB24658	GGB46168	GGB46168_SGB63936	SGB63936
2.64357	Bacteria	Bacteroidetes	CFGB36012	OFGB36012	FGB36012	GGB35206	GGB35206_SGB49924	SGB49924
0.02325	Bacteria	Bacteroidetes	CFGB36012	OFGB36012	FGB36012	GGB35206	GGB35206_SGB49925	SGB49925
0.00023	Bacteria	Bacteroidetes	CFGB41867	OFGB41867	FGB41867	GGB45849	GGB45849_SGB63574	SGB63574
0.09142	Bacteria	Bacteroidetes	CFGB42248	OFGB42248	FGB42248	GGB46504	GGB46504_SGB64365	SGB64365
0.01488	Bacteria	Bacteroidetes	CFGB75933	OFGB75933	FGB75933	GGB46599	GGB46599_SGB64468	SGB64468
0.02931	Bacteria	Bacteroidetes	CFGB76561	OFGB76561	FGB76561	GGB67319	GGB67319_SGB91067	SGB91067
