#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/tmpb4yv5p80/tmpdwy9w8i2 -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/P21158_94_S13_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S13_output/P21158_94_S13_humann_temp/P21158_94_S13_metaphlan_bowtie2.txt
#38044103 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	95.76544	
k__Archaea	2157	4.23456	
k__Bacteria|p__Firmicutes	2|1239	85.37115	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	6.44929	
k__Archaea|p__Euryarchaeota	2157|28890	4.23456	
k__Bacteria|p__Spirochaetes	2|203691	1.49084	
k__Bacteria|p__Proteobacteria	2|1224	1.12688	
k__Bacteria|p__Thermotogae	2|200918	0.75612	
k__Bacteria|p__Bacteroidetes	2|976	0.24961	
k__Bacteria|p__Ignavibacteriae	2|1134404	0.15656	
k__Bacteria|p__Dictyoglomi	2|68297	0.07859	
k__Bacteria|p__Synergistetes	2|508458	0.06772	
k__Bacteria|p__Planctomycetes	2|203682	0.01111	
k__Bacteria|p__Atribacterota	2|67818	0.00759	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	85.29137	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	6.44929	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	4.23456	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	0.92472	
k__Bacteria|p__Proteobacteria|c__CFGB8946	2|1224|	0.90029	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	0.75612	
k__Bacteria|p__Spirochaetes|c__CFGB8982	2|203691|	0.56611	
k__Bacteria|p__Proteobacteria|c__CFGB43452	2|1224|	0.22659	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	0.15656	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.14238	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	0.10722	
k__Bacteria|p__Firmicutes|c__CFGB8063	2|1239|	0.07977	
k__Bacteria|p__Dictyoglomi|c__CFGB42234	2|68297|	0.07859	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.05376	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified	2|508458|	0.01396	
k__Bacteria|p__Planctomycetes|c__CFGB45191	2|203682|	0.01111	
k__Bacteria|p__Atribacterota|c__CFGB8897	2|67818|	0.00759	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	85.29137	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified	2|456828||	6.44929	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	2157|28890|224756|2191	3.18275	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales	2157|28890|224756|2905377	1.0518	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821	2|203691||	0.92472	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946	2|1224||	0.90029	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	0.653	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982	2|203691||	0.56611	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452	2|1224||	0.22659	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734	2|1134404||	0.15656	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.14238	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012	2|976||	0.10722	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	2|200918|188708|1643946	0.10312	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063	2|1239||	0.07977	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234	2|68297||	0.07859	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.05376	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified	2|508458||	0.01396	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191	2|203682||	0.01111	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897	2|67818||	0.00759	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	85.29137	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified	2|456828|||	6.44929	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae	2157|28890|224756|2191|2194	2.05	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae	2157|28890|224756|2191|196137	1.13275	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae	2157|28890|224756|2905377|143067	1.0518	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821	2|203691|||	0.92472	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946	2|1224|||	0.90029	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae	2|200918|188708|2419|1643950	0.653	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982	2|203691|||	0.56611	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452	2|1224|||	0.22659	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734	2|1134404|||	0.15656	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae	2|976|200643|171549|2760872	0.11942	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012	2|976|||	0.10722	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae	2|200918|188708|1643946|1643948	0.10312	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063	2|1239|||	0.07977	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234	2|68297|||	0.07859	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0.05376	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Dysgonomonadaceae	2|976|200643|171549|2005520	0.02296	
k__Bacteria|p__Synergistetes|c__Synergistetes_unclassified|o__Synergistetes_unclassified|f__Synergistetes_unclassified	2|508458|||	0.01396	
k__Bacteria|p__Planctomycetes|c__CFGB45191|o__OFGB45191|f__FGB45191	2|203682|||	0.01111	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897|f__FGB8897	2|67818|||	0.00759	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Oenococcus	2|1239|91061|186826|33958|46254	85.29137	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified|f__Candidatus_Cloacimonetes_unclassified|g__Candidatus_Cloacimonas	2|456828||||456826	6.44929	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanomicrobiaceae|g__GGB27285	2157|28890|224756|2191|2194|	2.05	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanospirillaceae|g__Methanospirillum	2157|28890|224756|2191|196137|2202	1.13275	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales|f__Methanotrichaceae|g__GGB54100	2157|28890|224756|2905377|143067|	1.0518	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821|f__FGB42821|g__GGB42821	2|203691||||	0.92472	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946|f__FGB8946|g__GGB26731	2|1224||||	0.90029	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982|f__FGB8982|g__GGB58357	2|203691||||	0.56611	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB34841	2|200918|188708|2419|1643950|	0.33215	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__GGB24760	2|200918|188708|2419|1643950|	0.32085	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452|f__FGB43452|g__GGB25803	2|1224||||	0.22659	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734|f__FGB41734|g__GGB45669	2|1134404||||	0.15656	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tenuifilaceae|g__GGB35116	2|976|200643|171549|2760872|	0.11942	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012|f__FGB36012|g__GGB35206	2|976||||	0.10722	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__GGB24759	2|200918|188708|1643946|1643948|	0.10312	
k__Bacteria|p__Firmicutes|c__CFGB8063|o__OFGB8063|f__FGB8063|g__GGB24947	2|1239||||	0.07977	
k__Bacteria|p__Dictyoglomi|c__CFGB42234|o__OFGB42234|f__FGB42234|g__GGB42235	2|68297||||	0.07859	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium	2|508458|649775|649776|649777|49894	0.05376	
