#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/tmp2qklu2nu/tmpwhpq5f0j -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_94_S15.fastq_output/P21158_94_S15_humann_temp/P21158_94_S15_metaphlan_bowtie2.txt --nproc 12
#60037381 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	95.44528	
k__Archaea	2157	4.55472	
k__Bacteria|p__Firmicutes	2|1239	74.76519	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	11.24701	
k__Archaea|p__Euryarchaeota	2157|28890	4.55472	
k__Bacteria|p__Spirochaetes	2|203691	2.4567	
k__Bacteria|p__Thermotogae	2|200918	2.41451	
k__Bacteria|p__Bacteroidetes	2|976	2.12138	
k__Bacteria|p__Proteobacteria	2|1224	1.29943	
k__Bacteria|p__Ignavibacteriae	2|1134404	0.41993	
k__Bacteria|p__Dictyoglomi	2|68297	0.28794	
k__Bacteria|p__Synergistetes	2|508458	0.13844	
k__Bacteria|p__Verrucomicrobia	2|74201	0.09445	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.0812	
k__Bacteria|p__Atribacterota	2|67818	0.0557	
k__Bacteria|p__Planctomycetes	2|203682	0.04266	
k__Bacteria|p__Coprothermobacterota	2|2138240	0.01067	
k__Bacteria|p__Acidobacteria	2|57723	0.00527	
k__Bacteria|p__Actinobacteria	2|201174	0.00481	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	73.49254	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	11.24701	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	4.49526	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	2.41451	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	2.05495	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.94511	
k__Bacteria|p__Proteobacteria|c__CFGB8946	2|1224|	0.76006	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.46516	
k__Bacteria|p__Proteobacteria|c__CFGB43452	2|1224|	0.4523	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	0.41993	
k__Bacteria|p__Spirochaetes|c__CFGB8982	2|203691|	0.40175	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.37776	
k__Bacteria|p__Dictyoglomi|c__CFGB42234	2|68297|	0.28794	
k__Bacteria|p__Firmicutes|c__CFGB27080	2|1239|	0.17574	
k__Bacteria|p__Firmicutes|c__CFGB76783	2|1239|	0.13405	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.12116	
k__Bacteria|p__Firmicutes|c__CFGB8063	2|1239|	0.11994	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.09445	
k__Bacteria|p__Bacteroidetes|c__CFGB24658	2|976|	0.09028	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	0.086	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348	2|95818|	0.0812	
k__Bacteria|p__Proteobacteria|c__CFGB2403	2|1224|	0.04812	
k__Bacteria|p__Atribacterota|c__CFGB8897	2|67818|	0.04746	
k__Bacteria|p__Planctomycetes|c__CFGB45191	2|203682|	0.04266	
