#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/tmpf5q1zrc2/tmpole619_q -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/P21158_80_S11_001_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_80_S11.fastq_output/P21158_80_S11_001_humann_temp/P21158_80_S11_001_metaphlan_bowtie2.txt --nproc 12
#72759025 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	91.03872	
k__Archaea	2157	8.96128	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	35.38577	
k__Bacteria|p__Firmicutes	2|1239	33.39224	
k__Archaea|p__Euryarchaeota	2157|28890	8.96128	
k__Bacteria|p__Bacteroidetes	2|976	8.43949	
k__Bacteria|p__Thermotogae	2|200918	6.36179	
k__Bacteria|p__Spirochaetes	2|203691	4.02391	
k__Bacteria|p__Tenericutes	2|544448	1.75486	
k__Bacteria|p__Ignavibacteriae	2|1134404	0.67464	
k__Bacteria|p__Proteobacteria	2|1224	0.49101	
k__Bacteria|p__Actinobacteria	2|201174	0.19678	
k__Bacteria|p__Synergistetes	2|508458	0.15595	
k__Bacteria|p__Atribacterota	2|67818	0.09059	
k__Bacteria|p__Acidobacteria	2|57723	0.05549	
k__Bacteria|p__Chloroflexi	2|200795	0.01619	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	32.88329	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	30.18787	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	8.20189	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	6.36179	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	4.02236	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869	2|456828|	2.50248	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	2.2624	
k__Bacteria|p__Bacteroidetes|c__CFGB24658	2|976|	2.20296	
k__Bacteria|p__Bacteroidetes|c__CFGB7739	2|976|	1.907	
k__Bacteria|p__Tenericutes|c__CFGB9180	2|544448|	1.70544	
k__Bacteria|p__Firmicutes|c__CFGB39903	2|1239|	1.46161	
k__Bacteria|p__Firmicutes|c__CFGB26775	2|1239|	0.98833	
k__Bacteria|p__Bacteroidetes|c__CFGB7461	2|976|	0.82146	
k__Archaea|p__Euryarchaeota|c__CFGB76181	2157|28890|	0.74118	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	0.67464	
k__Bacteria|p__Bacteroidetes|c__CFGB7465	2|976|	0.63221	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.41519	
k__Bacteria|p__Firmicutes|c__CFGB8975	2|1239|	0.28103	
k__Bacteria|p__Firmicutes|c__CFGB27080	2|1239|	0.27563	
k__Bacteria|p__Proteobacteria|c__CFGB8946	2|1224|	0.22145	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	0.19678	
k__Bacteria|p__Proteobacteria|c__CFGB20881	2|1224|	0.16345	
k__Bacteria|p__Bacteroidetes|c__CFGB42009	2|976|	0.16268	
k__Bacteria|p__Synergistetes|c__CFGB7945	2|508458|	0.14555	
k__Bacteria|p__Atribacterota|c__Atribacteria	2|67818|2847774	0.07926	
k__Bacteria|p__Proteobacteria|c__CFGB43452	2|1224|	0.0677	
k__Bacteria|p__Firmicutes|c__CFGB8935	2|1239|	0.06341	
k__Bacteria|p__Acidobacteria|c__CFGB32401	2|57723|	0.05549	
k__Bacteria|p__Tenericutes|c__CFGB26653	2|544448|	0.04942	
k__Bacteria|p__Firmicutes|c__CFGB76402	2|1239|	0.04924	
k__Bacteria|p__Proteobacteria|c__CFGB41806	2|1224|	0.03841	
k__Bacteria|p__Firmicutes|c__CFGB4798	2|1239|	0.03635	
k__Bacteria|p__Bacteroidetes|c__CFGB23790	2|976|	0.03157	
k__Bacteria|p__Firmicutes|c__CFGB25401	2|1239|	0.02245	
k__Archaea|p__Euryarchaeota|c__CFGB38	2157|28890|	0.01821	
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2|200795|292625	0.01619	
k__Bacteria|p__Atribacterota|c__CFGB8897	2|67818|	0.01133	
k__Bacteria|p__Firmicutes|c__CFGB8972	2|1239|	0.01108	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0104	
k__Bacteria|p__Firmicutes|c__CFGB76577	2|1239|	0.0078	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.00745	
k__Bacteria|p__Bacteroidetes|c__CFGB46194	2|976|	0.00403	
k__Bacteria|p__Spirochaetes|c__CFGB8982	2|203691|	0.00155	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified	2|456828||	32.88329	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	30.18787	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanotrichales	2157|28890|224756|2905377	6.74183	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	6.36179	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821	2|203691||	4.02236	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869|o__OFGB7869	2|456828||	2.50248	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012	2|976||	2.2624	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658	2|976||	2.20296	
k__Bacteria|p__Bacteroidetes|c__CFGB7739|o__OFGB7739	2|976||	1.907	
k__Bacteria|p__Tenericutes|c__CFGB9180|o__OFGB9180	2|544448||	1.70544	
k__Bacteria|p__Firmicutes|c__CFGB39903|o__OFGB39903	2|1239||	1.46161	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	2157|28890|224756|2191	1.46006	
k__Bacteria|p__Firmicutes|c__CFGB26775|o__OFGB26775	2|1239||	0.98833	
k__Bacteria|p__Bacteroidetes|c__CFGB7461|o__OFGB7461	2|976||	0.82146	
k__Archaea|p__Euryarchaeota|c__CFGB76181|o__OFGB76181	2157|28890||	0.74118	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734|o__OFGB41734	2|1134404||	0.67464	
k__Bacteria|p__Bacteroidetes|c__CFGB7465|o__OFGB7465	2|976||	0.63221	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.41519	
k__Bacteria|p__Firmicutes|c__CFGB8975|o__OFGB8975	2|1239||	0.28103	
k__Bacteria|p__Firmicutes|c__CFGB27080|o__OFGB27080	2|1239||	0.27563	
k__Bacteria|p__Proteobacteria|c__CFGB8946|o__OFGB8946	2|1224||	0.22145	
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales	2|201174|1760|85009	0.19678	
k__Bacteria|p__Proteobacteria|c__CFGB20881|o__OFGB20881	2|1224||	0.16345	
k__Bacteria|p__Bacteroidetes|c__CFGB42009|o__OFGB42009	2|976||	0.16268	
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945	2|508458||	0.14555	
k__Bacteria|p__Atribacterota|c__Atribacteria|o__Atribacterales	2|67818|2847774|2847775	0.07926	
k__Bacteria|p__Proteobacteria|c__CFGB43452|o__OFGB43452	2|1224||	0.0677	
k__Bacteria|p__Firmicutes|c__CFGB8935|o__OFGB8935	2|1239||	0.06341	
k__Bacteria|p__Acidobacteria|c__CFGB32401|o__OFGB32401	2|57723||	0.05549	
k__Bacteria|p__Tenericutes|c__CFGB26653|o__OFGB26653	2|544448||	0.04942	
k__Bacteria|p__Firmicutes|c__CFGB76402|o__OFGB76402	2|1239||	0.04924	
k__Bacteria|p__Proteobacteria|c__CFGB41806|o__OFGB41806	2|1224||	0.03841	
k__Bacteria|p__Firmicutes|c__CFGB4798|o__OFGB4798	2|1239||	0.03635	
k__Bacteria|p__Bacteroidetes|c__CFGB23790|o__OFGB23790	2|976||	0.03157	
k__Bacteria|p__Firmicutes|c__CFGB25401|o__OFGB25401	2|1239||	0.02245	
k__Archaea|p__Euryarchaeota|c__CFGB38|o__OFGB38	2157|28890||	0.01821	
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	2|200795|292625|292629	0.01619	
k__Bacteria|p__Atribacterota|c__CFGB8897|o__OFGB8897	2|67818||	0.01133	
k__Bacteria|p__Firmicutes|c__CFGB8972|o__OFGB8972	2|1239||	0.01108	
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.0104	
k__Bacteria|p__Firmicutes|c__CFGB76577|o__OFGB76577	2|1239||	0.0078	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	0.00745	
k__Bacteria|p__Bacteroidetes|c__CFGB46194|o__OFGB46194	2|976||	0.00403	
k__Bacteria|p__Spirochaetes|c__CFGB8982|o__OFGB8982	2|203691||	0.00155	
