#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/tmp78dbzyjb/tmpwk8fqafq -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/P21158_81_S12_001_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/P21158_81_S12.fastq_output/P21158_81_S12_001_humann_temp/P21158_81_S12_001_metaphlan_bowtie2.txt --nproc 12
#88745750 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	91.58935	
k__Archaea	2157	8.41065	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	37.21277	
k__Bacteria|p__Firmicutes	2|1239	34.14303	
k__Archaea|p__Euryarchaeota	2157|28890	8.41065	
k__Bacteria|p__Bacteroidetes	2|976	7.16533	
k__Bacteria|p__Thermotogae	2|200918	5.85082	
k__Bacteria|p__Spirochaetes	2|203691	4.18467	
k__Bacteria|p__Tenericutes	2|544448	1.73351	
k__Bacteria|p__Ignavibacteriae	2|1134404	0.59111	
k__Bacteria|p__Proteobacteria	2|1224	0.38231	
k__Bacteria|p__Actinobacteria	2|201174	0.21356	
k__Bacteria|p__Atribacterota	2|67818	0.05696	
k__Bacteria|p__Synergistetes	2|508458	0.0329	
k__Bacteria|p__Acidobacteria	2|57723	0.02238	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	33.84324	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	32.25435	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	6.96784	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	5.85082	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	4.18467	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869	2|456828|	3.36953	
k__Bacteria|p__Bacteroidetes|c__CFGB24658	2|976|	2.89325	
k__Bacteria|p__Tenericutes|c__CFGB9180	2|544448|	1.64949	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	1.57642	
k__Archaea|p__Euryarchaeota|c__CFGB76181	2157|28890|	1.42907	
k__Bacteria|p__Bacteroidetes|c__CFGB7739	2|976|	1.37329	
k__Bacteria|p__Firmicutes|c__CFGB39903	2|1239|	0.66991	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	0.59111	
k__Bacteria|p__Firmicutes|c__CFGB26775	2|1239|	0.58203	
k__Bacteria|p__Bacteroidetes|c__CFGB7461	2|976|	0.53029	
k__Bacteria|p__Bacteroidetes|c__CFGB7465	2|976|	0.34997	
