#mpa_vOct22_CHOCOPhlAnSGB_202212
#/home/rodrigo/miniconda3/bin/metaphlan /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/tmp9uqp8scc/tmpsw7y76lt -t rel_ab -o /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bugs_list.tsv --input_type fastq --bowtie2out /mnt/HDDStorage/jsequeira/rodrigo/Datasets/VReal-3A_S10.fastq_output/VReal-3A_S10_humann_temp/VReal-3A_S10_metaphlan_bowtie2.txt --nproc 12
#130113000 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	93.98407	
k__Archaea	2157	6.01593	
k__Bacteria|p__Candidatus_Cloacimonetes	2|456828	32.67325	
k__Bacteria|p__Bacteroidetes	2|976	19.02364	
k__Bacteria|p__Spirochaetes	2|203691	8.92442	
k__Bacteria|p__Firmicutes	2|1239	7.45777	
k__Bacteria|p__Thermotogae	2|200918	7.35437	
k__Bacteria|p__Actinobacteria	2|201174	6.40224	
k__Archaea|p__Euryarchaeota	2157|28890	6.01593	
k__Bacteria|p__Proteobacteria	2|1224	4.53754	
k__Bacteria|p__Ignavibacteriae	2|1134404	2.31954	
k__Bacteria|p__Tenericutes	2|544448	1.78146	
k__Bacteria|p__Synergistetes	2|508458	1.27885	
k__Bacteria|p__Acidobacteria	2|57723	0.51928	
k__Bacteria|p__Planctomycetes	2|203682	0.41035	
k__Bacteria|p__Candidatus_Hydrogenedentes	2|142187	0.36934	
k__Bacteria|p__Bacteria_unclassified	2|	0.34449	
k__Bacteria|p__Kiritimatiellaeota	2|134625	0.15045	
k__Bacteria|p__Chloroflexi	2|200795	0.14603	
k__Bacteria|p__Atribacterota	2|67818	0.08961	
k__Bacteria|p__Verrucomicrobia	2|74201	0.07156	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	0.05971	
k__Bacteria|p__Nitrospirae	2|40117	0.05522	
k__Bacteria|p__Gemmatimonadetes	2|142182	0.00829	
k__Bacteria|p__Dictyoglomi	2|68297	0.00472	
k__Bacteria|p__Fusobacteria	2|32066	0.00176	
k__Bacteria|p__Candidatus_Omnitrophica	2|67812	0.00016	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified	2|456828|	30.28149	
k__Bacteria|p__Spirochaetes|c__CFGB42821	2|203691|	8.80203	
k__Bacteria|p__Thermotogae|c__Thermotogae	2|200918|188708	7.35437	
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	2157|28890|224756	5.16846	
k__Bacteria|p__Bacteroidetes|c__CFGB36012	2|976|	4.40997	
k__Bacteria|p__Bacteroidetes|c__CFGB7739	2|976|	3.36076	
k__Bacteria|p__Bacteroidetes|c__CFGB24658	2|976|	3.3365	
k__Bacteria|p__Actinobacteria|c__CFGB76414	2|201174|	3.22403	
k__Bacteria|p__Bacteroidetes|c__CFGB7465	2|976|	2.99495	
k__Bacteria|p__Candidatus_Cloacimonetes|c__CFGB7869	2|456828|	2.39176	
k__Bacteria|p__Ignavibacteriae|c__CFGB41734	2|1134404|	2.30485	
k__Bacteria|p__Actinobacteria|c__Actinomycetia	2|201174|1760	2.19548	
k__Bacteria|p__Firmicutes|c__CFGB26775	2|1239|	2.0649	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.92044	
k__Bacteria|p__Tenericutes|c__CFGB9180	2|544448|	1.58983	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	1.32594	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.2469	
k__Bacteria|p__Firmicutes|c__CFGB27080	2|1239|	1.23766	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	1.12471	
k__Bacteria|p__Bacteroidetes|c__CFGB7709	2|976|	1.10725	
k__Bacteria|p__Synergistetes|c__CFGB7945	2|508458|	1.05627	
k__Bacteria|p__Bacteroidetes|c__CFGB7461	2|976|	0.95622	
k__Bacteria|p__Proteobacteria|c__CFGB8946	2|1224|	0.63951	
k__Archaea|p__Euryarchaeota|c__CFGB76181	2157|28890|	0.61946	
k__Bacteria|p__Firmicutes|c__CFGB39903	2|1239|	0.5963	
k__Bacteria|p__Bacteroidetes|c__CFGB23790	2|976|	0.52904	
k__Bacteria|p__Bacteroidetes|c__CFGB42009	2|976|	0.51247	
k__Bacteria|p__Acidobacteria|c__CFGB32401	2|57723|	0.49536	
k__Bacteria|p__Proteobacteria|c__CFGB20881	2|1224|	0.44698	
k__Bacteria|p__Planctomycetes|c__CFGB45746	2|203682|	0.41012	
k__Bacteria|p__Proteobacteria|c__CFGB43452	2|1224|	0.38372	
k__Bacteria|p__Firmicutes|c__CFGB4798	2|1239|	0.37811	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB8426	2|142187|	0.36353	
k__Bacteria|p__Firmicutes|c__CFGB25401	2|1239|	0.31434	
k__Bacteria|p__Firmicutes|c__CFGB76402	2|1239|	0.29152	
k__Bacteria|p__Firmicutes|c__CFGB8975	2|1239|	0.24959	
k__Bacteria|p__Proteobacteria|c__CFGB41806	2|1224|	0.24783	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.21637	
k__Bacteria|p__Tenericutes|c__CFGB26653	2|544448|	0.19163	
k__Bacteria|p__Actinobacteria|c__Acidimicrobiia	2|201174|84992	0.18902	
k__Bacteria|p__Bacteria_unclassified|c__CFGB7371	2||	0.18762	
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	2||	0.15596	
k__Bacteria|p__Kiritimatiellaeota|c__CFGB30752	2|134625|	0.15045	
k__Bacteria|p__Proteobacteria|c__CFGB40144	2|1224|	0.13658	
k__Bacteria|p__Bacteroidetes|c__CFGB46194	2|976|	0.13366	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.1161	
k__Archaea|p__Euryarchaeota|c__CFGB38	2157|28890|	0.11191	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	0.10992	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.10738	
k__Bacteria|p__Firmicutes|c__CFGB8063	2|1239|	0.10695	
k__Bacteria|p__Chloroflexi|c__CFGB39849	2|200795|	0.09945	
k__Bacteria|p__Firmicutes|c__CFGB3438	2|1239|	0.09665	
k__Bacteria|p__Bacteroidetes|c__CFGB24578	2|976|	0.08794	
k__Bacteria|p__Bacteroidetes|c__CFGB75933	2|976|	0.07175	
k__Bacteria|p__Bacteroidetes|c__CFGB7503	2|976|	0.06675	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	0.06587	
k__Bacteria|p__Atribacterota|c__Atribacteria	2|67818|2847774	0.05861	
k__Bacteria|p__Verrucomicrobia|c__CFGB38799	2|74201|	0.05715	
k__Bacteria|p__Nitrospirae|c__Nitrospira	2|40117|203693	0.05522	
k__Bacteria|p__Firmicutes|c__CFGB8935	2|1239|	0.05294	
k__Bacteria|p__Bacteroidetes|c__CFGB41867	2|976|	0.0431	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0.04211	
k__Bacteria|p__Spirochaetes|c__CFGB41075	2|203691|	0.04154	
k__Bacteria|p__Bacteroidetes|c__CFGB7612	2|976|	0.0391	
k__Bacteria|p__Spirochaetes|c__CFGB8982	2|203691|	0.03874	
k__Bacteria|p__Bacteroidetes|c__CFGB72604	2|976|	0.03853	
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2|200795|292625	0.03181	
k__Bacteria|p__Atribacterota|c__CFGB8897	2|67818|	0.031	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.02936	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB7348	2|95818|	0.02704	
k__Bacteria|p__Proteobacteria|c__CFGB75967	2|1224|	0.02463	
k__Bacteria|p__Firmicutes|c__CFGB76577	2|1239|	0.01846	
k__Bacteria|p__Proteobacteria|c__CFGB14846	2|1224|	0.01833	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	0.01684	
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB42739	2|95818|	0.01584	
k__Bacteria|p__Chloroflexi|c__CFGB24537	2|200795|	0.01477	
k__Bacteria|p__Verrucomicrobia|c__CFGB45184	2|74201|	0.01441	
k__Bacteria|p__Bacteroidetes|c__CFGB41865	2|976|	0.01419	
k__Bacteria|p__Ignavibacteriae|c__CFGB24900	2|1134404|	0.01383	
k__Bacteria|p__Acidobacteria|c__CFGB41474	2|57723|	0.01373	
k__Bacteria|p__Proteobacteria|c__CFGB76416	2|1224|	0.01314	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.01096	
k__Bacteria|p__Firmicutes|c__CFGB8972	2|1239|	0.01067	
k__Bacteria|p__Proteobacteria|c__CFGB26025	2|1224|	0.0087	
k__Bacteria|p__Gemmatimonadetes|c__CFGB73260	2|142182|	0.00829	
k__Bacteria|p__Acidobacteria|c__CFGB41084	2|57723|	0.00805	
k__Bacteria|p__Proteobacteria|c__CFGB8514	2|1224|	0.00695	
k__Bacteria|p__Synergistetes|c__CFGB15867	2|508458|	0.00621	
k__Bacteria|p__Candidatus_Hydrogenedentes|c__CFGB40658	2|142187|	0.00581	
k__Bacteria|p__Bacteroidetes|c__CFGB76561	2|976|	0.00557	
k__Bacteria|p__Dictyoglomi|c__CFGB42234	2|68297|	0.00472	
k__Bacteria|p__Firmicutes|c__CFGB9195	2|1239|	0.00436	
k__Bacteria|p__Actinobacteria|c__CFGB23051	2|201174|	0.0042	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.00377	
k__Bacteria|p__Actinobacteria|c__CFGB76411	2|201174|	0.00269	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.00249	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.00247	
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	2|57723|204432	0.00214	
k__Bacteria|p__Proteobacteria|c__CFGB6783	2|1224|	0.00208	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	0.00176	
k__Bacteria|p__Bacteroidetes|c__CFGB7726	2|976|	0.00141	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.00126	
k__Bacteria|p__Actinobacteria|c__CFGB76413	2|201174|	0.00103	
k__Bacteria|p__Bacteroidetes|c__CFGB8910	2|976|	0.00097	
k__Bacteria|p__Bacteria_unclassified|c__CFGB76452	2||	0.00092	
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB42551	2|1798710|	0.00085	
k__Bacteria|p__Firmicutes|c__CFGB76282	2|1239|	0.00075	
k__Bacteria|p__Planctomycetes|c__CFGB45191	2|203682|	0.00023	
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00019	
k__Bacteria|p__Candidatus_Omnitrophica|c__CFGB40939	2|67812|	0.00016	
k__Bacteria|p__Candidatus_Cloacimonetes|c__Candidatus_Cloacimonetes_unclassified|o__Candidatus_Cloacimonetes_unclassified	2|456828||	30.28149	
k__Bacteria|p__Spirochaetes|c__CFGB42821|o__OFGB42821	2|203691||	8.80203	
k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	2|200918|188708|2419	7.35138	
k__Bacteria|p__Bacteroidetes|c__CFGB36012|o__OFGB36012	2|976||	4.40997	
k__Bacteria|p__Bacteroidetes|c__CFGB7739|o__OFGB7739	2|976||	3.36076	
k__Bacteria|p__Bacteroidetes|c__CFGB24658|o__OFGB24658	2|976||	3.3365	
k__Bacteria|p__Actinobacteria|c__CFGB76414|o__OFGB76414	2|201174||	3.22403	
